
SetupTitle, Gummel
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Monitor.RangeRatingCoeff, 50, 50, 50
TestParameter, Measurement.Timing.Hold, 0
TestParameter, Measurement.Timing.Delay, 0.01
TestParameter, Measurement.Adc.HighSpeed.Mode, AUTO
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 6
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Function.User.Name, Beta
TestParameter, Function.User.Unit, 
TestParameter, Function.User.Definition, Ic/Ib
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, Vc
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, 0
TestParameter, Output.Graph.XAxis.Right, 3
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true
TestParameter, Output.Graph.YAxis.Data, Ib, Ic, Beta
TestParameter, Output.Graph.YAxis.Scale, Log, Log, Linear
TestParameter, Output.Graph.YAxis.Bottom, -0.1, -0.1, 0
TestParameter, Output.Graph.YAxis.Top, 0.1, 0.1, 1
TestParameter, Output.Graph.YAxis.Group, , , 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, true, true, true
TestParameter, Output.List.Data, Vc, Ic, Ib, Vb, Ve, Ie
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 1
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 03/12/2026 19:43:08
MetaData, TestRecord.TestTarget, 60x60 CME
MetaData, TestRecord.IterationIndex, 1
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 1V
MetaData, TestRecord.LinkKey, fc82c719-562d-4a02-87e4-c6ad52ceb88c
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, Vc
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, Ib, Ic, Beta
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, , , 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, true, true, true
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A, A, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Log, Log, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 1E-10, 1E-11, -1.3
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 0.01, 0.01, 5.6000000000000014
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 1.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.9375
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 1.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.9375
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 1.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.9375
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 1.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.9375
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 1.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.9375
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU4:MP, Name=Vb, Direction=Single, Linear/Log=LINEAR, Start=0 V, Stop=1 V, Step=10 mV, No. of Steps=101, Compliance=100 mA, Pwr Comp=OFF	[VAR1'] Unit=SMU1:MP, Name=Vc, Offset=0 V, Ratio=1, Compliance=100 mA, Pwr Comp=0	[CONSTANTS] Unit=SMU3:MP, Name=Ve, Source Mode=V, Source=0 V, Compliance=100 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		0	5E-05	6
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, Vc, Ic, Ib, Vb, Ve, Ie
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, A, A, V, V, A
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, Gummel
Dimension1, 101, 101, 101, 101, 101, 101, 101
Dimension2, 1, 1, 1, 1, 1, 1, 1
DataName, Vb, Vc, Ve, Ie, Ib, Ic, Beta
DataValue, 0, 0, 0, -2.5076E-09, 1.0869E-09, -1.3146E-09, -1.2094948937344741
DataValue, 0.01, 0.01, 0, 2.42E-09, 9.906E-10, -1.2343E-09, -1.2460125176660608
DataValue, 0.02, 0.02, 0, 2.0959E-09, 1.0589E-09, -1.2575E-09, -1.1875531211634716
DataValue, 0.030000000000000002, 0.030000000000000002, 0, 2.4121E-09, 1.0246E-09, -1.3097E-09, -1.2782549287526839
DataValue, 0.04, 0.04, 0, 2.6038E-09, 1.0391E-09, -1.2558E-09, -1.2085458569916272
DataValue, 0.05, 0.05, 0, 2.2621E-09, 1.2097E-09, -1.3403E-09, -1.1079606514011737
DataValue, 0.060000000000000005, 0.060000000000000005, 0, 2.4075E-09, 1.2408E-09, -1.2697999999999999E-09, -1.0233720180528689
DataValue, 0.07, 0.07, 0, 2.1639E-09, 1.4312E-09, -1.2069E-09, -0.84327836780324206
DataValue, 0.08, 0.08, 0, 1.8158E-09, 1.6685E-09, -1.3119E-09, -0.78627509739286783
DataValue, 0.090000000000000011, 0.090000000000000011, 0, 1.8335E-09, 1.777E-09, -1.2389E-09, -0.69718626899268432
DataValue, 0.1, 0.1, 0, 1.3407E-09, 1.8663E-09, -1.1711E-09, -0.6274982585865081
DataValue, 0.11, 0.11, 0, 1.1464E-09, 2.3168E-09, -1.2527E-09, -0.54070269337016574
DataValue, 0.12000000000000001, 0.12000000000000001, 0, -3.1085999999999998E-09, 2.4795E-09, -7.366E-10, -0.29707602339181288
DataValue, 0.13, 0.13, 0, -3.2178E-09, 2.965E-09, -8.052E-10, -0.27156829679595279
DataValue, 0.14, 0.14, 0, -2.2044E-09, 3.6031E-09, -1.047E-09, -0.29058310898948125
DataValue, 0.15, 0.15, 0, -1.8086E-09, 4.4386E-09, -1.0555E-09, -0.2378002072725634
DataValue, 0.16, 0.16, 0, -2.6622999999999998E-09, 5.5911E-09, -1.0849E-09, -0.19404052869739408
DataValue, 0.17, 0.17, 0, -9.2708E-09, 6.9744E-09, 1.9437000000000002E-10, 0.027869064005505852
DataValue, 0.18000000000000002, 0.18000000000000002, 0, -1.10272E-08, 9.0212E-09, -5.41E-10, -0.059969848800603028
DataValue, 0.19, 0.19, 0, -1.2921799999999999E-08, 1.1148799999999999E-08, 2.6957000000000003E-10, 0.024179283869115966
DataValue, 0.2, 0.2, 0, -1.6034E-08, 1.4399199999999998E-08, 4.0897000000000004E-10, 0.028402272348463809
DataValue, 0.21000000000000002, 0.21000000000000002, 0, -1.9538E-08, 1.82338E-08, 8.57E-11, 0.0047000625212517419
DataValue, 0.22, 0.22, 0, -2.41406E-08, 2.28952E-08, 1.3787E-09, 0.060217862259338208
DataValue, 0.23, 0.23, 0, -3.3414799999999994E-08, 2.9667999999999998E-08, 1.7925E-09, 0.060418632870432795
DataValue, 0.24000000000000002, 0.24000000000000002, 0, -4.0239399999999996E-08, 3.7958999999999996E-08, 2.1252E-09, 0.05598672251639928
DataValue, 0.25, 0.25, 0, -5.0390799999999994E-08, 4.8518799999999995E-08, 3.6336E-09, 0.074890557886839751
DataValue, 0.26, 0.26, 0, -6.9521999999999992E-08, 6.33988E-08, 6.7588E-09, 0.10660769604472009
DataValue, 0.27, 0.27, 0, -9.4557199999999989E-08, 8.2774399999999992E-08, 9.9151E-09, 0.11978461939923456
DataValue, 0.28, 0.28, 0, -1.1912E-07, 1.0747599999999999E-07, 1.47402E-08, 0.1371487587926607
DataValue, 0.29000000000000004, 0.29000000000000004, 0, -1.6064E-07, 1.4081999999999999E-07, 2.1089599999999997E-08, 0.14976281778156511
DataValue, 0.3, 0.3, 0, -2.1786E-07, 1.8486E-07, 3.27056E-08, 0.17692091312344477
DataValue, 0.31, 0.31, 0, -2.907E-07, 2.412E-07, 4.7776199999999995E-08, 0.19807711442786066
DataValue, 0.32, 0.32, 0, -3.8826E-07, 3.176E-07, 7.1567E-08, 0.22533690176322418
DataValue, 0.33, 0.33, 0, -5.2644E-07, 4.1725999999999997E-07, 1.0604799999999999E-07, 0.2541532857211331
DataValue, 0.34, 0.34, 0, -7.0837999999999994E-07, 5.5116E-07, 1.5724E-07, 0.28528920821540027
DataValue, 0.35000000000000003, 0.35000000000000003, 0, -9.5588E-07, 7.261E-07, 2.335E-07, 0.32158104944222554
DataValue, 0.36000000000000004, 0.36000000000000004, 0, -1.3026E-06, 9.5346E-07, 3.4456E-07, 0.36137855809367986
DataValue, 0.37, 0.37, 0, -1.7744000000000001E-06, 1.2620000000000002E-06, 5.1058E-07, 0.40458003169572104
DataValue, 0.38, 0.38, 0, -2.4129000000000002E-06, 1.6619000000000001E-06, 7.5284E-07, 0.45299957879535463
DataValue, 0.39, 0.39, 0, -3.2879000000000003E-06, 2.1874E-06, 1.10532E-06, 0.50531224284538723
DataValue, 0.4, 0.4, 0, -4.5011000000000008E-06, 2.8786000000000003E-06, 1.633E-06, 0.56728965469325365
DataValue, 0.41000000000000003, 0.41000000000000003, 0, -6.1757000000000009E-06, 3.7703000000000006E-06, 2.3944000000000003E-06, 0.63506882741426407
DataValue, 0.42000000000000004, 0.42000000000000004, 0, -8.4451000000000015E-06, 4.9494E-06, 3.5011000000000002E-06, 0.70737867216228234
DataValue, 0.43, 0.43, 0, -1.1563900000000001E-05, 6.459300000000001E-06, 5.1012E-06, 0.78974501881008774
DataValue, 0.44, 0.44, 0, -1.5786E-05, 8.3948000000000013E-06, 7.4103000000000009E-06, 0.88272502025063126
DataValue, 0.45, 0.45, 0, -2.1574E-05, 1.0878600000000001E-05, 1.0688800000000002E-05, 0.98255290202783452
DataValue, 0.46, 0.46, 0, -2.9304000000000003E-05, 1.3982000000000001E-05, 1.5252E-05, 1.0908310685166642
DataValue, 0.47000000000000003, 0.47000000000000003, 0, -3.956E-05, 1.7912E-05, 2.1678E-05, 1.2102501116569897
DataValue, 0.48000000000000004, 0.48000000000000004, 0, -5.3188E-05, 2.275E-05, 3.0464000000000002E-05, 1.3390769230769231
DataValue, 0.49000000000000005, 0.49000000000000005, 0, -7.1014000000000008E-05, 2.8628E-05, 4.2374000000000005E-05, 1.4801592846164595
DataValue, 0.5, 0.5, 0, -9.3786E-05, 3.5692E-05, 5.8094E-05, 1.6276476521349321
DataValue, 0.51, 0.51, 0, -0.00012242, 4.3998E-05, 7.851E-05, 1.7843992908768582
DataValue, 0.52, 0.52, 0, -0.00015798, 5.3612E-05, 0.000104426, 1.9478101917481161
DataValue, 0.53, 0.53, 0, -0.00020112000000000003, 6.4546E-05, 0.00013656, 2.1157004307005858
DataValue, 0.54, 0.54, 0, -0.0002525, 7.6782E-05, 0.00017572, 2.2885572139303485
DataValue, 0.55, 0.55, 0, -0.00031256000000000003, 9.0272E-05, 0.00022234000000000002, 2.4630007089684511
DataValue, 0.56, 0.56, 0, -0.0003818, 0.000104886, 0.00027688, 2.6398184695764928
DataValue, 0.57000000000000006, 0.57000000000000006, 0, -0.0004604, 0.00012058, 0.0003397, 2.8172167855365733
DataValue, 0.58000000000000007, 0.58000000000000007, 0, -0.00054796, 0.00013722000000000002, 0.00041084000000000004, 2.9940241947238011
DataValue, 0.59000000000000008, 0.59000000000000008, 0, -0.00064474000000000009, 0.00015470000000000002, 0.00049036, 3.1697478991596637
DataValue, 0.6, 0.6, 0, -0.00075064, 0.00017284, 0.00057794, 3.3437861606109696
DataValue, 0.61, 0.61, 0, -0.00086442000000000008, 0.00019154, 0.00067306000000000006, 3.5139396470711084
DataValue, 0.62, 0.62, 0, -0.00098826000000000014, 0.0002109, 0.00077738, 3.6860123281175916
DataValue, 0.63, 0.63, 0, -0.0011196000000000001, 0.00023074, 0.00088892000000000007, 3.8524746467885933
DataValue, 0.64, 0.64, 0, -0.0012584, 0.00025088000000000004, 0.0010076800000000002, 4.016581632653061
DataValue, 0.65, 0.65, 0, -0.001405, 0.00027130000000000004, 0.0011338000000000001, 4.1791374861776633
DataValue, 0.66, 0.66, 0, -0.0015586, 0.00029204000000000003, 0.0012668, 4.33776195041775
DataValue, 0.67, 0.67, 0, -0.0017198, 0.00031306000000000004, 0.0014064, 4.4924295662173375
DataValue, 0.68, 0.68, 0, -0.0018868000000000001, 0.00033432000000000004, 0.0015526000000000001, 4.6440536013400333
DataValue, 0.69000000000000006, 0.69000000000000006, 0, -0.0020606, 0.00035578000000000004, 0.0017050000000000001, 4.7922873685985721
DataValue, 0.70000000000000007, 0.70000000000000007, 0, -0.002241, 0.00037754000000000005, 0.0018626, 4.9335169783334214
DataValue, 0.71000000000000008, 0.71000000000000008, 0, -0.0024252, 0.00039968, 0.0020256000000000002, 5.0680544435548445
DataValue, 0.72000000000000008, 0.72000000000000008, 0, -0.0026158, 0.00042246000000000004, 0.002194, 5.1933910902807368
